Fish #1	Coordinates: -81, 0
Fish #2	Coordinates: 47, 84
Fish #3	Coordinates: 55, -3
Fish #4	Coordinates: -33, 29
Fish #5	Coordinates: 5, -93
Fish #6	Coordinates: -47, 72
Fish #7	Coordinates: 34, -15
Fish #8	Coordinates: 43, 0
Fish #9	Coordinates: 98, -73
Fish #10	Coordinates: -9, -18
Fish #11	Coordinates: -44, 67
Fish #12	Coordinates: 86, -94
Fish #13	Coordinates: -77, -59
Fish #14	Coordinates: 82, -90
Fish #15	Coordinates: 60, -21
Fish #16	Coordinates: 61, 29
Fish #17	Coordinates: 80, -43
Fish #18	Coordinates: -38, -16
Fish #19	Coordinates: 54, 30
Fish #20	Coordinates: 63, -42
Fish #21	Coordinates: -13, -85
Fish #22	Coordinates: 80, -80
Fish #23	Coordinates: -50, -27
Fish #24	Coordinates: -29, -53
Fish #25	Coordinates: -50, 62
Fish #26	Coordinates: -20, 6
Fish #27	Coordinates: -21, -35
Fish #28	Coordinates: 13, 2
Fish #29	Coordinates: -44, -56
Fish #30	Coordinates: 12, 66
Fish #31	Coordinates: 23, -28
Fish #32	Coordinates: -5, 2
Fish #33	Coordinates: -20, 7
Fish #34	Coordinates: 36, -67
Fish #35	Coordinates: 87, -2
Fish #36	Coordinates: -58, -76
Fish #37	Coordinates: -37, -79
Fish #38	Coordinates: -56, 14
Fish #39	Coordinates: -56, -35
Fish #40	Coordinates: 11, -5
Fish #41	Coordinates: 78, 41
Fish #42	Coordinates: -100, -44
Fish #43	Coordinates: -95, -37
Fish #44	Coordinates: 8, -38
Fish #45	Coordinates: 7, -81
Fish #46	Coordinates: -73, -70
Fish #47	Coordinates: -59, -28
Fish #48	Coordinates: -18, 21
Fish #49	Coordinates: 30, -82
Fish #50	Coordinates: 5, 16
Fish #51	Coordinates: -34, -3
Fish #52	Coordinates: 40, 30
Fish #53	Coordinates: -32, 35
Fish #54	Coordinates: 94, 13
Fish #55	Coordinates: 50, -46
Fish #56	Coordinates: -93, -23
Fish #57	Coordinates: 96, 58
Fish #58	Coordinates: -17, 51
Fish #59	Coordinates: -79, 91
Fish #60	Coordinates: 63, 28
Fish #61	Coordinates: 60, 41
Fish #62	Coordinates: 8, -99
Fish #63	Coordinates: -88, 91
Fish #64	Coordinates: -28, -8
Fish #65	Coordinates: 59, 27
Fish #66	Coordinates: 59, 75
Fish #67	Coordinates: -77, -52
Fish #68	Coordinates: -46, -8
Fish #69	Coordinates: 33, -53
Fish #70	Coordinates: 55, -17
Fish #71	Coordinates: -48, 62
Fish #72	Coordinates: 10, -53
Fish #73	Coordinates: -31, 94
Fish #74	Coordinates: 98, -10
Fish #75	Coordinates: 84, 61
Fish #76	Coordinates: 69, 44
Fish #77	Coordinates: -49, -74
Fish #78	Coordinates: -5, -87
Fish #79	Coordinates: 67, 17
Fish #80	Coordinates: 6, 25
Fish #81	Coordinates: -56, -36
Fish #82	Coordinates: -50, -83
Fish #83	Coordinates: 12, 4
Fish #84	Coordinates: 9, 96
Fish #85	Coordinates: 52, -87
Fish #86	Coordinates: -22, 54
Fish #87	Coordinates: 25, 88
Fish #88	Coordinates: -100, 95
Fish #89	Coordinates: 31, 48
Fish #90	Coordinates: -16, 15
Fish #91	Coordinates: -42, -98
Fish #92	Coordinates: -92, 9
Fish #93	Coordinates: -71, -47
Fish #94	Coordinates: 23, 96
Fish #95	Coordinates: 70, -72
Fish #96	Coordinates: -29, -87
Fish #97	Coordinates: -58, 21
Fish #98	Coordinates: 82, 4
Fish #99	Coordinates: -76, -10
Fish #100	Coordinates: -1, 26
Fish #101	Coordinates: 4, 27
Fish #102	Coordinates: -21, -72
Fish #103	Coordinates: -35, -71
Fish #104	Coordinates: 73, 96
Fish #105	Coordinates: 78, -93
Fish #106	Coordinates: -40, 86
Fish #107	Coordinates: -91, -82
Fish #108	Coordinates: -5, 89
Fish #109	Coordinates: -29, 68
Fish #110	Coordinates: 35, -59
Fish #111	Coordinates: 46, -95
Fish #112	Coordinates: -96, 88
Fish #113	Coordinates: -24, 86
Fish #114	Coordinates: -59, -50
Fish #115	Coordinates: -74, -9
Fish #116	Coordinates: 77, -20
Fish #117	Coordinates: 68, -95
Fish #118	Coordinates: -42, 83
Fish #119	Coordinates: 86, -69
Fish #120	Coordinates: 79, 13
Fish #121	Coordinates: -62, 89
Fish #122	Coordinates: -2, 98
Fish #123	Coordinates: -93, 43
Fish #124	Coordinates: 87, -72
Fish #125	Coordinates: 10, 21
